date,open,high,low,close,volume
6/2/2003,64.6412,65.251,64.0712,64.5219,50305500
6/3/2003,64.3894,64.8467,64.1905,64.787,38254500
6/4/2003,64.7274,65.8475,64.6677,65.7216,49360700
6/5/2003,65.3372,66.0463,65.1317,66.0463,46262400
6/6/2003,66.5434,67.2062,65.7017,65.7879,60356800
6/9/2003,65.4631,65.6818,64.8003,65.1184,37808500
6/10/2003,65.2576,65.7879,65.0787,65.7812,29965900
6/11/2003,65.7216,66.5368,65.4233,66.4771,37610200
6/12/2003,66.7754,66.8748,66.0265,66.6826,36442000
6/13/2003,66.6826,66.7754,65.5824,65.9867,48628300
6/16/2003,66.2518,67.405,66.1458,67.3785,36326300
6/17/2003,67.6503,67.7232,67.0935,67.3785,36801800
6/18/2003,67.1333,67.6967,66.9411,67.3189,35521000
6/19/2003,67.3653,67.4249,66.1723,66.2916,43551700
6/20/2003,66.7777,66.8508,66.1324,66.1458,41545000
6/23/2003,66.1524,66.2921,65.1347,65.4673,34237500
6/24/2003,65.3342,65.9129,65.2012,65.5338,36213600
6/25/2003,65.5404,66.1458,64.8753,64.8753,47743400
6/26/2003,65.0416,65.8398,64.4961,65.72,33477300
6/27/2003,65.6868,65.9795,64.9085,64.9617,54208800
6/30/2003,65.3342,65.6336,64.8353,64.9418,33349000
7/1/2003,64.689,65.7533,64.1436,65.5404,51322800
7/2/2003,65.7001,66.3786,65.567,66.3653,34662100
7/3/2003,65.8996,66.4185,65.1214,65.6801,30792800
7/7/2003,66.2854,67.1169,66.2854,66.9839,31391100
7/8/2003,66.8508,67.3763,66.6313,67.2832,30952500
7/9/2003,67.1302,67.4495,66.5382,66.9041,36528500
7/10/2003,66.4118,66.5449,65.607,66.0526,49777700
7/11/2003,66.1125,66.8176,66.1125,66.6779,39976300
7/14/2003,67.3165,67.7821,66.8176,67.0038,42114900
7/15/2003,67.4362,67.4894,66.485,66.8575,42573600
7/16/2003,67.0571,67.097,66.0061,66.465,39894200
7/17/2003,65.9529,66.4384,65.2943,65.5205,52253500
7/18/2003,65.8664,66.3852,65.4939,66.1923,35698100
7/21/2003,66.1524,66.179,65.0881,65.3741,34786000
7/22/2003,65.6469,66.1258,65.1347,65.9662,49968300
7/23/2003,65.9928,66.1524,65.3741,66.0127,37275400
7/24/2003,66.5116,66.7444,65.434,65.5138,40896200
7/25/2003,65.6269,66.7112,65.2145,66.6712,43241100
7/28/2003,66.7644,67.1701,66.2987,66.4251,34382800
7/29/2003,66.6114,66.6912,65.6402,66.1191,53472100
7/30/2003,66.2522,66.352,65.8065,65.9595,28363300
7/31/2003,66.505,67.1236,65.9662,66.1125,54937200
8/1/2003,65.9795,66.2056,65.3475,65.5271,49321000
8/4/2003,65.3941,65.8531,64.5227,65.5271,55214100
8/5/2003,65.4606,65.6934,64.0837,64.1369,61415600
8/6/2003,64.3165,65.2278,64.1369,64.5094,50096900
8/7/2003,64.6358,65.2345,64.3631,65.1879,43427400
8/8/2003,65.4007,65.5537,65.0282,65.3741,27357300
8/11/2003,65.3608,65.8797,65.0815,65.6203,34631400
8/12/2003,65.6602,66.2455,65.4673,66.2189,43285600
8/13/2003,66.3985,66.4185,65.5404,65.8797,36152000
8/14/2003,65.9196,66.352,65.4872,66.0593,35525100
8/15/2003,66.0925,66.3786,65.9329,66.2655,12567000
8/18/2003,66.4717,66.9174,66.3453,66.8375,22873800
8/19/2003,66.9772,67.1435,66.5183,67.0903,37437700
8/20/2003,66.7112,67.1103,66.6247,66.8176,21295300
8/21/2003,67.2167,67.5293,66.7843,67.0304,46494200
8/22/2003,67.6823,67.7289,66.3387,66.3653,52040300
8/25/2003,66.3254,67.0704,66.0393,66.4717,23473000
8/26/2003,66.1857,66.7777,65.74,66.5914,45065800
8/27/2003,66.5515,66.7577,66.2322,66.6114,18919500
8/28/2003,66.7843,67.1834,66.2921,67.0238,27402400
8/29/2003,66.924,67.5027,66.8375,67.4761,28706600
9/2/2003,67.6092,68.434,67.2167,68.3808,49419100
9/3/2003,68.5338,68.9794,68.3675,68.7533,44912400
9/4/2003,68.5803,68.8797,68.3542,68.7865,28381000
9/5/2003,68.4739,68.8797,68.1147,68.4007,31637300
9/8/2003,68.5404,69.0992,68.4672,68.9661,32632800
